Date,AXP,BA,CAT,CSCO,CVX,DIS,HD,IBM,JNJ,KO,MCD,MMM,MRK,MSFT,PG,TRV,VZ,WMT
2014-09-30,74.94027709960938,110.76315307617188,74.63539123535156,18.157926559448242,75.38252258300781,80.59223175048828,71.3932113647461,115.56126403808594,79.04286193847656,30.385536193847656,72.0495376586914,83.29279327392578,40.622955322265625,39.40799331665039,61.97005844116211,73.94612884521484,28.91559410095215,20.645427703857422
2014-10-01,73.67807006835938,108.40666961669922,73.56520080566406,18.056934356689453,74.32746887207031,79.19818115234375,70.8329086303711,113.94190216064453,77.34466552734375,30.442514419555664,71.578369140625,81.8230209350586,40.23235321044922,39.016971588134766,61.52601623535156,73.28489685058594,28.591670989990234,20.550933837890625
2014-10-02,73.7295913696289,107.9719009399414,73.41447448730469,18.078571319580078,73.98631286621094,78.56451416015625,71.78231811523438,113.78366088867188,77.0109634399414,30.385536193847656,71.5251693725586,81.5232162475586,40.32828903198242,38.89796447753906,61.45945358276367,73.26126861572266,28.510690689086914,20.58064079284668
2014-10-03,74.83721160888672,109.8761978149414,73.39937591552734,18.258926391601562,74.3653564453125,80.06718444824219,72.79401397705078,114.85509490966797,77.96016693115234,30.62769889831543,72.08753967285156,82.40503692626953,41.047821044921875,39.17847442626953,62.00705337524414,74.35542297363281,28.753623962402344,20.874916076660156
2014-10-06,74.72560119628906,109.78926086425781,73.85910034179688,18.042499542236328,74.6054458618164,80.166748046875,72.57608032226562,115.08033752441406,77.75994873046875,31.05506134033203,71.3124008178711,82.50497436523438,40.82853698730469,39.17847442626953,61.84425735473633,74.54434204101562,28.9676513671875,20.883012771606445
2014-10-07,73.28311157226562,107.2327880859375,71.37202453613281,17.775583267211914,73.29768371582031,78.85418701171875,71.96131134033203,113.05314636230469,75.92831420898438,31.282981872558594,70.52969360351562,80.94119262695312,40.06103515625,38.702449798583984,61.54084777832031,73.72570037841797,28.736278533935547,20.8695125579834
2014-10-08,75.05188751220703,108.67622375488281,72.84169006347656,17.790008544921875,74.51698303222656,79.75942993164062,73.22199249267578,115.27507781982422,77.79703521728516,31.73172950744629,71.3048324584961,83.13401794433594,41.239707946777344,39.7650146484375,62.29568099975586,74.3475570678711,29.169103622436523,21.123292922973633
2014-10-09,73.74679565429688,106.74583435058594,70.46762084960938,17.450946807861328,72.34370422363281,77.58687591552734,72.42823791503906,113.48536682128906,75.69841766357422,31.247377395629883,70.46126556396484,81.50556182861328,40.57499313354492,38.97447204589844,61.91086196899414,73.90674591064453,28.61928939819336,21.020700454711914
2014-10-10,72.97399139404297,105.65020751953125,70.18879699707031,16.837745666503906,71.9520263671875,78.09379577636719,72.02357482910156,113.18707275390625,75.06808471679688,31.67473602294922,70.14208221435547,78.67777252197266,40.19809341430664,37.42738342285156,62.673065185546875,74.02481842041016,28.625144958496094,21.136798858642578
2014-10-13,71.0764389038086,104.73719024658203,69.09596252441406,16.541967391967773,70.7769546508789,75.95746612548828,70.50605010986328,111.71993255615234,73.50340270996094,31.389835357666016,68.9489974975586,78.13106536865234,38.47121047973633,37.1043815612793,61.696258544921875,73.61546325683594,28.291749954223633,20.93970489501953
